CIP_Occupation_Title,NSSBIC_Occupation_Title
Petroleum Engineering,Education & Training
Systems Engineering,Education & Training
Textile Sciences & Engineering,Education & Training
Materials Science,Education & Training
Polymer/Plastics Engineering,Education & Training
Construction Engineering   (New),Education & Training
Forest Engineering  (New),Education & Training
Industrial Engineering  (New),Education & Training
Manufacturing Engineering   (New),Education & Training
Surveying Engineering  (New),Education & Training
Geological/Geophysical Engineering  (New),Education & Training
"Engineering, Other",Education & Training
"Agriculture, General",Education & Training
"Agricultural Business & Management, General",Education & Training
Agribusiness/Agricultural Business Operations,Education & Training
Agricultural Economics,Education & Training
Farm/Farm & Ranch Management,Education & Training
Agricultural/Farm Supplies Retailing & Wholesaling,Education & Training
"Agricultural Business & Management, Other",Education & Training
"Agricultural Mechanization, General",Education & Training
Agricultural Power Machinery Operation,Education & Training
"Agricultural Mechanization, Other",Education & Training
"Agricultural Production Operations, General",Education & Training
Animal/Livestock Husbandry & Production,Education & Training
Aquaculture,Education & Training
Crop Production,Education & Training
"Agricultural Production Operations, Other",Education & Training
"Agricultural & Food Products Processing, General",Education & Training
Animal Training,Education & Training
Equestrian/Equine Studies,Education & Training
"Agriculture-Related Services, Other",Education & Training
"Applied Horticulture/Horticultural Operations, General",Education & Training
Ornamental Horticulture,Education & Training
Greenhouse Operations & Management,Education & Training
Landscaping & Groundskeeping,Education & Training
Plant Nursery Operations & Management,Education & Training
Turf & Turfgrass Management,Education & Training
"Horticultural Service Operations, Other",Education & Training
International Agriculture,Education & Training
"Animal Sciences, General",Education & Training
Agricultural Animal Breeding,Education & Training
Animal Health,Education & Training
Animal Nutrition,Education & Training
Dairy Science,Education & Training
Livestock Management  (New),Education & Training
Poultry Science  (New),Education & Training
"Animal Sciences, Other",Education & Training
Food Science  (New),Education & Training
"Plant Sciences, General",Education & Training
Agronomy & Crop Science,Education & Training
Horticultural Science,Education & Training
Agricultural & Horticultural Plant Breeding (New),Education & Training
Plant Protection & Integrated Pest Management,Education & Training
Range Science & Management,Education & Training
"Plant Sciences, Other",Education & Training
"Soil Science & Agronomy, General",Education & Training
"Agriculture, Agricultural Operations, & Related Sciences, Other.",Education & Training
Agricultural Teacher Education,Education & Training
"Biology/Biological Sciences, General",Education & Training
Biochemistry,Education & Training
Biophysics,Education & Training
Molecular Biology,Education & Training
Radiation Biology/Radiobiology,Education & Training
Botany/Plant Biology,Education & Training
Plant Pathology/Phytopathology,Education & Training
Plant Physiology,Education & Training
Cell/Cellular Biology & Histology,Education & Training
Anatomy,Education & Training
"Microbiology, General  (New)",Education & Training
Virology,Education & Training
Parasitology,Education & Training
Immunology,Education & Training
Ecology,Education & Training
Marine Biology & Biological Oceanography,Education & Training
Evolutionary Biology,Education & Training
"Ecology, Evolution, & Systematics, Other  (New)",Education & Training
Zoology/Animal Biology,Education & Training
Entomology,Education & Training
Animal Physiology,Education & Training
Plant Genetics,Education & Training
Pathology/Experimental Pathology  (New),Education & Training
Pharmacology,Education & Training
Toxicology,Education & Training
Biometry/Biometrics,Education & Training
Biotechnology,Education & Training
"Biological & Biomedical Sciences, Other",Education & Training
Nutrition Sciences,Education & Training
Neuroscience,Education & Training
Science Teacher Education/General Science Teacher Education,Education & Training
Science Teacher Education/General Science Teacher Education,Education & Training
Physics Teacher Education,Education & Training
Astronomy,Education & Training
Astrophysics (New),Education & Training
Planetary Astronomy & Science  (New),Education & Training
"Atmospheric Sciences & Meteorology, General",Education & Training
Atmospheric Chemistry & Climatology  (New),Education & Training
Atmospheric Physics & Dynamics  (New),Education & Training
Meteorology  (New),Education & Training
"Atmospheric Sciences & Meteorology, Other  (New)",Education & Training
"Geology/Earth Science, General",Education & Training
Geochemistry,Education & Training
Geophysics & Seismology,Education & Training
Paleontology,Education & Training
Hydrology & Water Resources Science  (New),Education & Training
Geochemistry & Petrology  (New),Education & Training
"Oceanography, Chemical & Physical  (New)",Education & Training
"Geological & Earth Sciences/Geosciences, Other",Education & Training
Atomic/Molecular Physics,Education & Training
Elementary Particle Physics,Education & Training
Plasma & High-Temperature Physics,Education & Training
Nuclear Physics,Education & Training
Optics/Optical Sciences,Education & Training
Solid State & Low-Temperature Physics,Education & Training
Acoustics,Education & Training
Theoretical & Mathematical Physics,Education & Training
"Physics, Other",Education & Training
"Chemistry, General",Education & Training
Analytical Chemistry,Education & Training
Inorganic Chemistry,Education & Training
Organic Chemistry,Education & Training
Physical & Theoretical Chemistry,Education & Training
Polymer Chemistry,Education & Training
Chemical Physics (New),Education & Training
"Chemistry, Other",Education & Training
Geochemistry,Education & Training
Environmental Studies  (New),Education & Training
Environmental Science,Education & Training
Science Teacher Education/General Science Teacher Education,Education & Training
"Physics, General",Education & Training
Atomic/Molecular Physics,Education & Training
Elementary Particle Physics,Education & Training
Plasma & High-Temperature Physics,Education & Training
Nuclear Physics,Education & Training
Optics/Optical Sciences,Education & Training
Solid State & Low-Temperature Physics,Education & Training
Acoustics,Education & Training
Theoretical & Mathematical Physics,Education & Training
"Physics, Other",Education & Training
Social Science Teacher Education,Education & Training
Anthropology,Education & Training
Physical Anthropology  (New),Education & Training
Archeology,Education & Training
African Studies,Education & Training
American/United States Studies/Civilization,Education & Training
Asian Studies/Civilization,Education & Training
East Asian Studies,Education & Training
Central/Middle & Eastern European Studies,Education & Training
European Studies/Civilization,Education & Training
Latin American Studies,Education & Training
Near & Middle Eastern Studies,Education & Training
Pacific Area/Pacific Rim Studies,Education & Training
Russian Studies,Education & Training
Scandinavian Studies,Education & Training
South Asian Studies,Education & Training
Southeast Asian Studies,Education & Training
Western European Studies,Education & Training
Canadian Studies,Education & Training
Balkans Studies  (New),Education & Training
Baltic Studies  (New),Education & Training
Slavic Studies  (New),Education & Training
Caribbean Studies  (New),Education & Training
Ural-Altaic & Central Asian Studies  (New),Education & Training
Commonwealth Studies  (New),Education & Training
"Regional Studies (U.S., Canadian, Foreign  (New)",Education & Training
